Date,Open,High,Low,Close,Volume,Adj Close
2016-05-23,6156.299805,6270.299805,6109.600098,6262.899902,762504500,6262.899902
2016-05-16,6138.50,6215.899902,6050.200195,6156.299805,738935700,6156.299805
2016-05-09,6125.700195,6193.200195,6060.100098,6138.50,630835000,6138.50
2016-05-03,6241.899902,6270.00,6054.700195,6125.700195,580127400,6125.700195
2016-04-25,6310.399902,6324.600098,6224.50,6241.899902,779855300,6241.899902
2016-04-18,6343.799805,6427.299805,6261.700195,6310.399902,726368700,6310.399902
2016-04-11,6204.399902,6373.899902,6165.50,6343.799805,743914000,6343.799805
2016-04-04,6146.100098,6216.299805,6061.899902,6204.399902,678117600,6204.399902
2016-03-29,6106.50,6221.799805,6070.799805,6146.100098,702737000,6146.100098
2016-03-21,6189.600098,6216.799805,6090.00,6106.50,610684300,6106.50
2016-03-14,6139.799805,6237.00,6114.799805,6189.600098,786251600,6189.600098
2016-03-07,6199.399902,6216.100098,6036.700195,6139.799805,827956100,6139.799805
2016-02-29,6096.00,6204.100098,6033.200195,6199.399902,886650000,6199.399902
2016-02-22,5950.200195,6115.399902,5845.600098,6096.00,633093700,6096.00
2016-02-15,5707.600098,6036.50,5707.600098,5950.200195,765980400,5950.200195
2016-02-08,5848.100098,5882.399902,5499.50,5707.600098,819457000,5707.600098
2016-02-01,6083.799805,6115.100098,5791.00,5848.100098,953526600,5848.100098
2016-01-25,5900.00,6083.799805,5771.399902,6083.799805,882337800,6083.799805
2016-01-18,5804.100098,5926.899902,5639.899902,5900.00,906386700,5900.00
2016-01-11,5912.399902,6011.100098,5769.200195,5804.100098,916993900,5804.100098
2016-01-04,6242.299805,6242.299805,5888.00,5912.399902,774908100,5912.399902
2015-12-29,6254.600098,6314.600098,6233.00,6242.299805,312562100,6242.299805
2015-12-21,6052.399902,6259.899902,6031.799805,6254.600098,414201600,6254.600098
2015-12-14,5952.799805,6160.799805,5871.899902,6052.399902,860601500,6052.399902
2015-12-07,6238.299805,6287.200195,5949.799805,5952.799805,745752200,5952.799805
2015-11-30,6375.200195,6447.299805,6219.50,6238.299805,728289500,6238.299805
2015-11-23,6334.600098,6395.299805,6221.299805,6375.200195,516880600,6375.200195
2015-11-16,6118.299805,6366.899902,6079.799805,6334.600098,544831600,6334.600098
2015-11-09,6353.799805,6380.399902,6088.799805,6118.299805,702186400,6118.299805
2015-11-02,6361.100098,6459.50,6317.299805,6353.799805,517401800,6353.799805
2015-10-26,6444.100098,6453.00,6337.700195,6361.100098,396801400,6361.100098
2015-10-19,6378.00,6487.899902,6316.299805,6444.100098,377938500,6444.100098
2015-10-12,6416.200195,6416.200195,6268.299805,6378.00,365830400,6378.00
2015-10-05,6130.00,6453.200195,6130.00,6416.200195,662811800,6416.200195
2015-09-28,6109.00,6176.200195,5877.100098,6130.00,939308100,6130.00
2015-09-21,6104.100098,6168.700195,5933.200195,6109.00,813982100,6109.00
2015-09-14,6117.799805,6244.899902,6019.899902,6104.100098,893838700,6104.100098
2015-09-07,6042.899902,6284.200195,6042.899902,6117.799805,522628500,6117.799805
2015-09-01,6247.899902,6247.899902,6021.399902,6042.899902,812300500,6042.899902
2015-08-24,6187.700195,6247.899902,5768.200195,6247.899902,1176404300,6247.899902
2015-08-17,6550.700195,6585.899902,6187.700195,6187.700195,648976300,6187.700195
2015-08-10,6718.50,6751.50,6536.399902,6550.700195,765023500,6550.700195
2015-08-03,6696.299805,6764.799805,6644.700195,6718.50,842757100,6718.50
2015-07-27,6579.799805,6705.399902,6495.700195,6696.299805,788822000,6696.299805
2015-07-20,6775.100098,6813.399902,6574.00,6579.799805,589278800,6579.799805
2015-07-13,6673.399902,6805.100098,6673.399902,6775.100098,591944700,6775.100098
2015-07-06,6585.799805,6687.600098,6430.399902,6673.399902,751179200,6673.399902
2015-06-29,6753.700195,6753.700195,6521.00,6585.799805,694800600,6585.799805
2015-06-22,6710.50,6873.399902,6710.50,6753.700195,650098300,6753.700195
2015-06-15,6784.899902,6784.899902,6625.200195,6710.50,801430000,6710.50
2015-06-08,6804.600098,6870.200195,6734.200195,6784.899902,662176500,6784.899902
2015-06-01,6984.399902,7037.600098,6785.200195,6804.600098,759771600,6804.600098
2015-05-26,7031.700195,7069.899902,6930.299805,6984.399902,776353700,6984.399902
2015-05-18,6960.50,7061.700195,6931.600098,7031.700195,680959100,7031.700195
2015-05-11,7046.799805,7083.700195,6884.600098,6960.50,747055300,6960.50
2015-05-05,6986.00,7053.200195,6810.100098,7046.799805,1058685300,7046.799805
2015-04-27,7070.700195,7122.700195,6906.200195,6986.00,797556200,6986.00
2015-04-20,6994.600098,7105.100098,6994.600098,7070.700195,707232100,7070.700195
2015-04-13,7089.799805,7119.399902,6979.299805,6994.600098,702515100,6994.600098
2015-04-07,6833.50,7095.399902,6833.50,7089.799805,767538900,7089.799805
2015-03-30,6855.00,6914.600098,6765.100098,6833.50,729026600,6833.50
2015-03-23,7022.50,7065.100098,6839.899902,6855.00,739053000,6855.00
2015-03-16,6740.600098,7024.200195,6740.600098,7022.50,888864600,7022.50
2015-03-09,6911.799805,6911.799805,6693.799805,6740.600098,772186600,6740.600098
2015-03-02,6946.700195,6974.299805,6862.899902,6911.799805,770225900,6911.799805
2015-02-23,6915.200195,6967.200195,6885.899902,6946.700195,774763300,6946.700195
2015-02-16,6873.50,6921.299805,6819.799805,6915.200195,622421100,6915.200195
2015-02-09,6853.399902,6887.600098,6778.00,6873.50,712359700,6873.50
2015-02-02,6749.399902,6886.299805,6732.00,6853.399902,762168500,6853.399902
2015-01-26,6832.799805,6865.00,6749.399902,6749.399902,721860000,6749.399902
2015-01-19,6550.299805,6841.700195,6548.00,6832.799805,765578900,6832.799805
2015-01-12,6501.100098,6558.799805,6298.200195,6550.299805,806586800,6550.299805
2015-01-05,6547.799805,6580.799805,6328.600098,6501.100098,761380800,6501.100098
2014-12-29,6609.899902,6652.00,6510.600098,6547.799805,295355000,6547.799805
2014-12-22,6545.299805,6621.00,6545.299805,6609.899902,372465300,6609.899902
2014-12-15,6300.600098,6566.899902,6144.700195,6545.299805,976219900,6545.299805
2014-12-08,6742.799805,6742.799805,6297.399902,6300.600098,741750000,6300.600098
2014-12-01,6722.600098,6753.200195,6637.399902,6742.799805,693673000,6742.799805
2014-11-24,6750.799805,6765.00,6667.100098,6722.600098,706236700,6722.600098
2014-11-17,6654.399902,6773.100098,6616.100098,6750.799805,695872000,6750.799805
2014-11-10,6567.200195,6654.399902,6566.799805,6654.399902,678465600,6654.399902
2014-11-03,6546.50,6608.200195,6444.899902,6567.200195,772697100,6567.200195
2014-10-27,6388.700195,6553.399902,6336.100098,6546.50,832371200,6546.50
2014-10-20,6310.299805,6430.299805,6229.399902,6388.700195,773072200,6388.700195
2014-10-13,6340.00,6405.00,6072.700195,6310.299805,1123679900,6310.299805
2014-10-06,6527.899902,6588.299805,6328.399902,6340.00,833077300,6340.00
2014-09-29,6649.399902,6658.899902,6446.399902,6527.899902,758894100,6527.899902
2014-09-22,6837.899902,6838.399902,6615.100098,6649.399902,749731500,6649.399902
2014-09-15,6807.00,6876.00,6748.100098,6837.899902,783016800,6837.899902
2014-09-08,6855.100098,6857.50,6764.899902,6807.00,624305700,6807.00
2014-09-01,6819.799805,6904.899902,6798.299805,6855.100098,636998300,6855.100098
2014-08-26,6775.299805,6831.200195,6775.299805,6819.799805,559649900,6819.799805
2014-08-18,6689.100098,6784.600098,6689.100098,6775.299805,467551000,6775.299805
2014-08-11,6567.399902,6742.799805,6567.399902,6689.100098,505718500,6689.100098
2014-08-04,6679.200195,6715.600098,6528.700195,6567.399902,610107400,6567.399902
